No;NAME;TITLE ID;BUILD ID
217;BaconMan:AnAdventure;0100EAF00E32E000;3ff8fe0ccfb2348b
218;Bakugan:ChampionsOfVestroia[Rev1.00.00];0100730011BDC000;30d27bd665ae7c4b,f76a59c9b9027b4f
219;BalanWonderworld[Rev1.00];0100438012EC8000;6b584c5c7cf33fc7
220;Baldur'sGate:DarkAlliance;0100FD1014726000;cc01700d7bc40cc9,d0b3501dc634c120
221;BanneroftheMaid;010013C010C5C000;1d054498cf18f143,435cc4987292944f
222;Bastion;010038600B27E000;26a2d0ccaee5f39e
223;Batbarian:TestamentofthePrimordials;01005F3012748000;42d357104945ee4a
224;BattleAxe[Rev1.0];0100747011890000;47841761051e4741
225;BattleBrothers–ATurnBasedTacticalRPG;0100C5000F294000;51b44a165a981da6
226;BattleCats;01003C300B274000;83ed8627cb8a9801
227;BattleChasers:Nightwar;0100551001D88000;d0222f29ab9bb64c
228;BattleHunters;0100A3B011EDE000;6a6737f9cf9eef0b
229;BattlePrincessMadelyn;010094A00BEF8000;18d0d1aba92c624d
230;BattlePrincessMadelyn;0100C4D0093EA000;8c853c65d7ff824f
231;BattlePrincessMadelynRoyalEdition;0100A7500DF64000;404c24b13d16da49
232;Bayonetta;010076F0049A2000;7ae22ddabce854f5
233;Bayonetta2;01007960049A0000;40ea84adf0a7bc26
234;BDSM:BigDrunkSatanicMassacre;01002FA00DE72000;7dcd7a8bb4d3de46,b51ed813ddd61748
235;BE-AWalker;01003A1010E3C000;dc7a206287057848
236;BeachBuggyRacing2:IslandAdventure;0100C43012344000;c6ebe40f77dbca62
237;BeastQuest;01001EB00E9FE000;1dd68befb8b47446
238;BeekyrReloaded;0100F8900ADC8000;a68d66c915322e4f
239;Ben10;01006E1004404000;312a6760655ac64a
240;Ben10-PowerTrip![Rev1.0.0];01009CD00E3AA000;4c28d9b591f7ba41,a52f93fc12d20448
241;BeybladeBurst:BattleZero;010068600AD16000;bc9ce552d047a306
242;BiolabWars;0100AEC010052000;a0f1e0eae07d8446
243;BioShock2Remastered;01002620102C6000;3953274ef966b6b2,7d1714279435589c
244;BioShockInfinite:TheCompleteEdition;0100D560102C8000;48681f1d90704f6c
245;BioShock:TheCollection;0100AD10102B2000;d89ffaa2062e3733,d89ffaa2062e373d
246;BirthdayofMidnight;01009B0012888000;1f0d0b00618a9a4b
247;BitDungeonPlus;0100C6E0047C8000;dfa48a2646766742
248;BitDungeon+;01004770079BA000;dfa48a2646766742
249;BitetheBullet;0100A0800EA9C000;1de026588eba8442
250;BLACKBIRD;010022B00ACE6000;59d3aec4b3c1f9c6,8512ce4f95dfd443
251;BlackFuture'88;010049000B69E000;2580871e693bf04d,6b058d50fdcedb4a
252;BlackLegend;0100C3200E7E6000;ac35c0188ee353d0
253;BlackParadox;010071900D95A000;3d292f6718eb0046
254;Blackmoor2;0100A0A00E660000;f6168d6c148c8949
255;BlackseaOdyssey;01006B400C178000;9abbfb8abca4a14f
256;BlacksmithOfTheSandKingdom[Rev1.00];010068E013450000;52e9b20c87354246
257;BladeArcusRebellionFromShining;0100C4400CB7C000;80b750f7ab6a6d9b,e4ffb041ed1e1b44
258;BladeII-TheReturnOfEvil;01009CC00E224000;0379ac316b16fbc1
259;BladedFury[Rev1.00];0100DF0011A6A000;d45552f973c9fa42
260;BladesofTime;0100CFA00CC74000;333e26389d65cc97,5e7cda9e555594f7,7d5566784a94ec45,aacc3e192951142c
261;Blasphemous;0100698009C6E000;289df01eeab3174f,382c13c67356d348,70c806f458d36843,8a4d312d4f3d8a47
262;BlasterMasterZero;0100225000FEE000;2f3fca7b168909b9,a3bce5521b979943,cb248efc0e80b579
263;BlasterMasterZero2;01005AA00D676000;a4ea361912d1faac,a6508b49cb116267,b4c22c2a6b42cb3d,eacf4443d4078f41
264;BLAZBLUECENTRALFICTIONSpecialEdition;0100EE900AB58000;1c1f052d10a63eef
265;BLAZBLUECENTRALFICTIONSpecialEdition;0100EE800C93E000;4c531136514b74b1
266;BlazBlue:CrossTagBattle;0100B61008208000;1ae1f9f6e9756c30
267;BlazingChrome;0100C2700C252000;318f9f225a532857,da4276df8ade4eec
268;BLEED;010042C006490000;29c3da45a9a9b062,c26b326ecee0aca1
269;BLEED2;0100A48008AE8000;3bec0ef7b2dfa80d,5d8a35b1528d9bec
270;BlooKid2;010055900FADA000;81b7d2ca1a4ba899
271;BloodwillbeSpilled;0100E060102AA000;7c02ca59f9d3f54a
272;Bloodstained:CurseoftheMoon;01004B800AF5A000;7f601c10c52ecf17,82deca0a867052bf,b98e9d18b061b2f0
273;Bloodstained:CurseoftheMoon2;01004680124E6000;08171dea7e990225,d6e8f00f5475ed38
274;Bloodstained:RitualoftheNight;0100BF500207C000;084119fa8d16ac7d,10b88db440a80087,1a6dfb0842d3e0d4,2a4d573019380105,3801f5e8e152c2c2,3ae4129599c87e87,86f6eb39dc3576f2,a736fe15b0bbaeec,bf2258d318ed0b07
275;BloonsTD5;0100B8400A1C6000;a514b9687031515d
276;BlossomTales;0100C1000706C000;94b20fd4bc79108e
277;BlueFire;010073B010F6E000;0dadad91306ad865,b4294cc08d3d1358
278;BlueRider;01006A600B5E6000;ffd5e4043b659545
279;BokunoHeroAcademia:OnesJustice2[Rev1.0.0];010011100DBF2000;7cc9cc284127a24f
280;BokujoMonogatari:OliveTowntoKibonoDaichi[Rev1.0.0];010017301007E000;1ea294af01f90f4c,a4095add59310847
281;BokujoMonogatari:SaikainoMineralTown;01001D900D9AC000;6dbb212901b120d1,c6d7a20591972336
282;BomberCrew;01007900080B6000;2b039c01b7596146
283;BombingBusters;0100E7E00C4CA000;adee8edec4fcaf4d
284;BondsoftheSkies;01009AA00D49E000;6dc378bd561b8a43
285;BookofDemons;01007A200F452000;97364795cc407a15
286;BookboundBrigade;010054500F564000;2b839a3905710d48
287;Borderlands:GameoftheYearEdition;010064800F66A000;1c37c3673e0e4e7a,88d224694a04940f
288;Borderlands:TheHandsomeCollection;010096F00FF22000;b5ea86b6aefeeb73,f7c233469f20ee3f
289;Borderlands:ThePre-Sequel;010007400FF24000;090b1f7f7af35d00
290;BossRush:Mythology;0100AB9013564000;5d4eab46aace1242
291;BoulderDash30thAnniversary;0100DB20107BE000;3ac8a3db96d5d843
292;BountyBattle;0100E1200DC1A000;6891f262cbc1fe4b
